DATAFLOW,LAST UPDATE,freq,unit,icd10,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2015,1.42,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2016,3.14,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2017,4.31,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2018,4.92,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2019,4.36,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2020,3.5,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2021,4.38,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,DK,2022,4.05,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2011,11.28,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2012,4.52,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2013,7.98,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2014,16.45,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2015,16.64,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2016,8.37,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2017,8.35,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2018,16.47,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2019,12.89,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2020,18.86,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2021,12.22,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EE,2022,7.21,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2011,1.95,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2012,1.45,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2013,1.28,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2014,1.66,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2015,1.31,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2016,1.12,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2017,1.48,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2018,2.02,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2019,1.46,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2020,1.28,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2021,0.56,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EL,2022,1.69,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2011,1.99,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2012,2.29,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2013,2.51,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2014,2.7,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2015,2.63,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2016,2.59,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2017,2.23,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2018,2.96,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2019,2.87,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2020,1.98,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2021,2.07,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,ES,2022,2.94,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2011,4.85,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2012,4.82,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2013,4.76,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2014,4.9,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2015,4.35,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2016,4.21,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2017,4.39,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2018,4.23,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2019,4.34,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2020,3.99,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2021,4.37,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,EU27_2020,2022,4.44,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2011,13.03,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2012,13.57,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2013,10.09,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2014,9.35,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2015,5.59,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2016,7.34,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2017,10.43,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2018,10.13,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2019,11.47,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2020,10.76,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2021,9.32,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FI,2022,7.86,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2011,4.35,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2012,4.36,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2013,3.93,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2014,3.5,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2015,3.26,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2016,3.37,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2017,3.1,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2018,3.47,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2019,3.84,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2020,3.59,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2021,3.81,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,FR,2022,3.81,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2011,3.69,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2012,4.89,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2013,6.5,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2014,8.21,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2015,5.03,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2016,6.52,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2017,4.11,,
ESTAT:TPS00202(1.0),21/03/25 11:00:00,A,RT,X60-X84_Y870,T,Y15-19,HR,2018,4.78,,
